order_number,product_number,customer_id,order_date,ship_date,due_date,sales_amount,quantity,price
GO43697,PR-CH-BROC-250G,28629,2025-02-22,2025-02-28,2025-03-08,111.71,1,111.71
GO43698,HH-CH-TOIL-2L,21559,2025-10-31,2025-11-05,2025-11-09,696.4,10,69.64
GO43699,SN-PC-COOK-1KG,21780,2024-05-01,2024-05-06,2024-05-06,211.62,2,105.81
GO43700,MT-PC-BEEF-1KG,22449,2020-12-21,2020-12-23,2020-12-30,9.43,1,9.43
GO43701,PN-CL-BAKE-12PK,18519,2022-11-20,2022-11-25,2022-11-26,339.93,3,113.31
GO43702,MT-DR-BEEF-1L,26262,2025-02-22,2025-02-27,2025-03-03,114.09,3,38.03
GO43703,DA-CL-CREA-12PK,21693,2023-08-05,2023-08-07,2023-08-19,65.78,2,32.89
GO43704,BV-FO-INST-FAMILY,22312,2023-05-24,2023-05-30,2023-05-31,409.05,5,81.81
GO43705,PR-FO-AVOC-EA,17619,2024-08-18,2024-08-21,2024-08-28,256.04,4,64.01
GO43706,BV-FO-ORAN-FAMILY,24253,2023-06-10,2023-06-15,2023-06-24,108.48,1,108.48
GO43707,SN-GR-POPC-2L,12121,2025-09-16,2025-09-21,2025-09-22,261.15,3,87.05
GO43708,BV-PC-GREE-FAMILY,13939,2022-05-21,2022-05-28,2022-06-03,204.5,2,102.25
GO43709,HB-CL-TOOT-XL,28058,2021-07-31,2021-08-02,2021-08-10,357.12,12,29.76
GO43710,MT-GR-LAMB-6PK,25059,2025-11-20,2025-11-24,2025-11-29,38.84,2,19.42
GO43711,PN-CH-OLIV-6PK,20174,2020-08-01,2020-08-07,2020-08-12,91.43,1,91.43
GO43712,PN-CL-BASM-1KG,26448,2024-08-17,2024-08-22,2024-08-28,193.2,2,96.6
GO43713,PR-FO-SPIN-2L,23199,2025-01-02,2025-01-05,2025-01-07,74.9,1,74.9
GO43714,HH-PC-BINB-6PK,15129,2023-03-14,2023-03-19,2023-03-22,54.82,1,54.82
GO43715,SN-GR-POPC-2L,18028,2021-05-03,2021-05-06,2021-05-15,76.25,1,76.25
GO43716,HH-PC-SURF-6PK,19923,2021-01-30,2021-02-01,2021-02-13,48.45,1,48.45
GO43717,PR-GR-APPL-500G,20762,2022-07-23,2022-07-26,2022-07-30,10.38,3,3.46
GO43718,BV-DR-COLA-6PK,12106,2020-05-01,2020-05-06,2020-05-07,86.38,2,43.19
GO43719,MT-DR-CHIC-XL,19523,2023-11-21,2023-11-22,2023-11-29,1016.16,12,84.68
GO43720,BV-FO-GREE-EA,21935,2022-09-07,2022-09-13,2022-09-15,76.26,2,38.13
GO43721,MT-GR-CHIC-2L,18806,2023-01-15,2023-01-21,2023-01-22,186.24,3,62.08
GO43722,BK-FO-CHOC-12PK,13177,2024-04-26,2024-04-27,2024-05-01,441.3,5,88.26
GO43723,PN-FO-SPAG-1L,12272,2020-03-19,2020-03-24,2020-03-30,22.85,1,22.85
GO43724,BV-CH-GREE-2L,20780,2024-01-14,2024-01-18,2024-01-26,76.69,1,76.69
GO43725,BK-CH-BURG-1L,27298,2025-08-30,2025-09-01,2025-09-10,74.5,2,37.25
GO43726,HH-CL-LAUN-6PK,21712,2021-06-03,2021-06-04,2021-06-12,87.04,1,87.04
GO43727,BK-CH-CROI-1L,17095,2026-01-21,2026-01-27,2026-01-26,65.38,2,32.69
GO43728,MT-PC-SAUS-250G,28031,2020-06-18,2020-06-21,2020-06-29,23.97,3,7.99
GO43729,BV-FO-ORAN-FAMILY,24279,2021-12-11,2021-12-18,2021-12-17,294.51,3,98.17
GO43730,PR-FO-BROC-2L,25309,2022-10-30,2022-11-03,2022-11-07,39.87,1,39.87
GO43731,PR-CL-TOMA-500G,27347,2026-04-09,2026-04-12,2026-04-21,375.8,4,93.95
GO43732,HH-CL-SURF-XL,14883,2024-06-01,2024-06-04,2024-06-07,3.52,4,0.88
GO43733,HH-PC-TOIL-6PK,28748,2023-03-01,2023-03-03,2023-03-09,191.95,5,38.39
GO43734,FR-PC-FROZ-EA,14915,2025-06-23,2025-06-30,2025-07-07,233.8,2,116.9
GO43735,PR-DR-SPIN-12PK,15468,2021-04-22,2021-04-29,2021-04-29,83.07,3,27.69
GO43736,PN-CH-OLIV-FAMILY,17469,2025-02-28,2025-03-06,2025-03-06,11.95,5,2.39
GO43737,PR-FO-BROC-2L,15250,2020-10-04,2020-10-08,2020-10-17,112.54,2,56.27
GO43738,BV-PC-GREE-500G,11979,2020-06-08,2020-06-15,2020-06-16,203.2,2,101.6
GO43739,DA-DR-SOUR-2L,29204,2021-02-19,2021-02-25,2021-03-04,119.01,3,39.67
GO43740,SN-CH-CRAC-1L,25100,2024-12-14,2024-12-16,2024-12-22,21.0,2,10.5
GO43741,BK-CH-MUFF-500G,21432,2020-03-22,2020-03-23,2020-04-03,78.78,2,39.39
GO43742,FR-DR-FROZ-FAMILY,15424,2020-06-09,2020-06-11,2020-06-19,238.89,3,79.63
GO43743,SN-DR-COOK-1KG,15458,2022-10-14,2022-10-18,2022-10-24,32.75,1,32.75
GO43744,HB-CH-NAPP-12PK,11140,2022-11-16,2022-11-17,2022-11-24,1213.08,12,101.09
GO43745,SN-DR-POPC-12PK,29255,2025-08-02,2025-08-03,2025-08-11,174.9,6,29.15
GO43746,HB-DR-TOOT-6PK,14346,2022-01-09,2022-01-16,2022-01-20,12.42,1,12.42
GO43747,FR-CL-FISH-EA,28979,2023-12-25,2023-12-27,2023-12-30,47.51,1,47.51
GO43748,BV-DR-INST-12PK,12087,2020-07-03,2020-07-07,2020-07-15,489.2,4,122.3
GO43749,BV-FO-ORAN-FAMILY,19329,2025-03-09,2025-03-14,2025-03-20,325.59,3,108.53
GO43750,PR-PC-SPIN-XL,15752,2022-10-22,2022-10-24,2022-10-27,18.23,1,18.23
GO43751,DA-FO-WHOL-1L,19776,2026-01-25,2026-01-30,2026-02-01,479.75,5,95.95
GO43752,HB-CL-HAND-FAMILY,28646,2026-01-27,2026-01-29,2026-02-10,7.01,1,7.01
GO43753,MT-CH-CHIC-EA,13203,2022-11-07,2022-11-13,2022-11-15,154.02,3,51.34
GO43754,HB-PC-NAPP-250G,18693,2021-07-01,2021-07-07,2021-07-10,82.05,3,27.35
GO43755,HB-GR-HAND-6PK,25449,2024-08-26,2024-08-28,2024-09-04,6.56,2,3.28
GO43756,DA-CH-WHOL-FAMILY,24673,2024-07-23,2024-07-29,2024-08-05,566.1,10,56.61
GO43757,HB-GR-PAIN-1KG,19636,2023-04-24,2023-04-29,2023-05-07,275.97,3,91.99
GO43758,BK-PC-CROI-EA,13065,2023-03-31,2023-04-05,2023-04-13,28.72,1,28.72
GO43759,BV-PC-GREE-6PK,17106,2022-05-05,2022-05-12,2022-05-16,439.1,5,87.82
GO43760,BK-CH-CHOC-FAMILY,27259,2020-07-26,2020-07-30,2020-08-07,169.3,2,84.65
GO43761,HH-GR-DISH-1L,21966,2021-03-24,2021-03-28,2021-04-03,75.34,1,75.34
GO43762,BV-FO-ORAN-FAMILY,22371,2021-11-28,2021-12-01,2021-12-12,203.82,2,101.91
GO43763,DA-GR-BUTT-1KG,17601,2023-05-04,2023-05-07,2023-05-15,109.56,1,109.56
GO43764,BV-FO-SPRI-FAMILY,20373,2023-08-10,2023-08-11,2023-08-24,20.27,1,20.27
GO43765,PR-FO-CARR-250G,25638,2021-09-01,2021-09-03,2021-09-09,79.3,1,79.3
GO43766,SN-DR-CHOC-XL,19954,2022-02-05,2022-02-07,2022-02-13,33.4,4,8.35
GO43767,BV-CL-GREE-FAMILY,19711,2026-01-21,2026-01-23,2026-01-28,12.16,2,6.08
GO43768,FR-GR-FROZ-EA,13074,2023-09-08,2023-09-11,2023-09-14,5.64,3,1.88
GO43769,BK-FO-CHOC-1L,29410,2021-02-19,2021-02-25,2021-02-26,161.26,2,80.63
GO43770,DA-CL-BUTT-XL,15529,2025-04-22,2025-04-25,2025-04-29,428.1,5,85.62
GO43771,PN-CL-FLOU-6PK,23299,2026-03-04,2026-03-07,2026-03-14,40.66,1,40.66
GO43772,MT-DR-SAUS-250G,19651,2024-10-09,2024-10-10,2024-10-23,78.84,1,78.84
GO43773,HH-CL-BINB-6PK,11976,2024-05-04,2024-05-08,2024-05-17,397.08,6,66.18
GO43774,BK-CH-CHOC-FAMILY,27539,2025-07-07,2025-07-10,2025-07-14,65.42,1,65.42
GO43775,PN-FO-SPAG-1L,27114,2021-11-14,2021-11-16,2021-11-24,93.09,3,31.03
GO43776,FR-DR-FROZ-1L,13403,2024-08-11,2024-08-12,2024-08-24,108.6,5,21.72
GO43777,SN-GR-POTA-1L,15864,2021-03-08,2021-03-14,2021-03-14,379.4,10,37.94
GO43778,SN-CH-CHOC-1L,25428,2025-04-06,2025-04-12,2025-04-11,172.56,2,86.28
GO43779,FR-FO-FROZ-1KG,24155,2023-07-01,2023-07-02,2023-07-14,26.62,1,26.62
