prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
210,BK-PC-WHIT-6PK,White Bread - 6PK,77.12,R,2016-05-09,2021-11-26
211,FR-FO-FROZ-1KG,Frozen Berries - 1KG,17.39,S,2017-11-19,2023-02-02
212,PN-PC-TUNA-12PK,Tuna Cans - 12PK,43.78,T,2025-07-15,
213,BK-CL-CHOC-250G,Chocolate Cake - 250G,63.02,M,2025-07-01,
214,MT-CH-CHIC-EA,Chicken Breast - EA,41.58,R,2014-08-23,
215,PN-DR-SUGA-2L,Sugar - 2L,11.17,T,2021-01-30,
216,PN-FO-SPAG-1L,Spaghetti - 1L,19.38,M,2025-02-13,
217,PN-CL-BASM-1KG,Basmati Rice - 1KG,62.52,R,2022-01-23,
218,HH-FO-PAPE-250G,Paper Towels - 250G,23.55,R,2018-01-03,2023-11-05
219,BV-DR-SPRI-2L,Spring Water - 2L,4.87,M,2015-09-07,2008-01-18
220,HH-CL-DISH-1KG,Dish Liquid - 1KG,61.23,R,2021-06-16,
221,FR-CH-FISH-2L,Fish Fingers - 2L,50.85,S,2017-09-29,2007-07-16
222,PR-CL-TOMA-500G,Tomatoes - 500G,62.21,M,2023-08-07,
223,HB-CL-HAND-FAMILY,Hand Soap - FAMILY,4.83,S,2022-01-28,2027-10-31
224,SN-DR-MUES-2L,Muesli Bars - 2L,57.36,R,2021-07-05,2025-05-15
225,BK-GR-BAGE-1L,Bagels - 1L,77.55,S,2023-12-07,2007-01-28
226,BV-CL-SPRI-12PK,Spring Water - 12PK,17.17,R,2017-06-25,2020-12-31
227,FR-CL-ICEC-500G,Ice Cream Tub - 500G,38.42,R,2020-07-18,
228,DA-CH-WHOL-FAMILY,Whole Milk - FAMILY,38.61,M,2018-09-30,2019-10-30
229,BV-CL-SPRI-6PK,Spring Water - 6PK,70.62,T,2013-08-02,
230,FR-CH-FROZ-250G,Frozen Pizza - 250G,50.13,T,2015-01-13,
231,PN-CH-OLIV-6PK,Olive Oil - 6PK,78.64,M,2014-01-08,
232,PR-DR-SPIN-12PK,Spinach - 12PK,20.6,R,2013-08-10,2014-06-02
233,DA-GR-CHED-12PK,Cheddar Cheese - 12PK,2.57,S,2020-09-06,
234,MT-GR-SALM-250G,Salmon Fillet - 250G,37.12,T,2016-06-07,2022-12-08
235,DA-CH-WHOL-6PK,Whole Milk - 6PK,42.62,S,2023-06-22,
236,PR-FO-AVOC-1L,Avocados - 1L,72.7,S,2017-02-09,
237,SN-CL-CHOC-6PK,Chocolate Bar - 6PK,27.61,R,2021-06-02,
238,FR-GR-FROZ-EA,Frozen Peas - EA,1.15,S,2017-02-02,
239,PR-CL-SPIN-250G,Spinach - 250G,2.03,M,2017-03-09,2023-07-28
240,FR-GR-FROZ-1KG,Frozen Berries - 1KG,43.0,T,2013-12-23,
241,PN-FO-OLIV-250G,Olive Oil - 250G,67.15,M,2015-12-22,
242,MT-PC-PORK-2L,Pork Chops - 2L,26.6,M,2014-02-25,
243,SN-CL-POTA-12PK,Potato Chips - 12PK,39.54,M,2013-07-14,
244,SN-CH-POTA-1KG,Potato Chips - 1KG,8.25,S,2017-07-03,
245,FR-CL-FROZ-FAMILY,Frozen Pizza - FAMILY,47.95,S,2015-08-15,
246,HH-PC-BINB-500G,Bin Bags - 500G,13.87,T,2024-03-15,2027-06-10
247,DA-GR-SOUR-12PK,Sour Cream - 12PK,42.36,S,2017-07-04,
248,HB-GR-BODY-1L,Body Wash - 1L,46.78,R,2023-10-16,
249,PN-PC-TUNA-FAMILY,Tuna Cans - FAMILY,,M,2023-06-04,2025-07-24
250,HB-CH-NAPP-12PK,Nappies - 12PK,63.38,M,2019-11-02,
