sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
GO43697,PR-CH-BROC-250G,28629,20250222,20250228,20250308,111.71,1,111.71
GO43698,HH-CH-TOIL-2L,21559,20251031,20251105,20251109,696.4,10,69.64
GO43699,SN-PC-COOK-1KG,21780,20240501,20240506,20240506,211.62,2,105.81
GO43700,MT-PC-BEEF-1KG,22449,20201221,20201223,20201230,9.43,1,9.43
GO43701,PN-CL-BAKE-12PK,18519,20221120,20221125,20221126,339.93,3,113.31
GO43702,MT-DR-BEEF-1L,26262,20250222,20250227,20250303,114.09,3,38.03
GO43703,DA-CL-CREA-12PK,21693,20230805,20230807,20230819,65.78,2,32.89
GO43704,BV-FO-INST-FAMILY,22312,20230524,20230530,20230531,409.05,5,81.81
GO43705,PR-FO-AVOC-EA,17619,20240818,20240821,20240828,256.04,4,64.01
GO43706,BV-FO-ORAN-FAMILY,24253,20230610,20230615,20230624,108.48,1,108.48
GO43707,SN-GR-POPC-2L,12121,20250916,20250921,20250922,261.15,3,87.05
GO43708,BV-PC-GREE-FAMILY,13939,20220521,20220528,20220603,204.5,2,102.25
GO43709,HB-CL-TOOT-XL,28058,20210731,20210802,20210810,357.12,12,29.76
GO43710,MT-GR-LAMB-6PK,25059,20251120,20251124,20251129,38.84,2,19.42
GO43711,PN-CH-OLIV-6PK,20174,20200801,20200807,20200812,91.43,1,91.43
GO43712,PN-CL-BASM-1KG,26448,20240817,20240822,20240828,193.2,2,96.6
GO43713,PR-FO-SPIN-2L,23199,20250102,20250105,20250107,74.9,1,74.9
GO43714,HH-PC-BINB-6PK,15129,20230314,20230319,20230322,54.82,1,54.82
GO43715,SN-GR-POPC-2L,18028,20210503,20210506,20210515,76.25,1,76.25
GO43716,HH-PC-SURF-6PK,19923,20210130,20210201,20210213,48.45,1,48.45
GO43717,PR-GR-APPL-500G,20762,20220723,20220726,20220730,10.38,3,3.46
GO43718,BV-DR-COLA-6PK,12106,20200501,20200506,20200507,86.38,2,43.19
GO43719,MT-DR-CHIC-XL,19523,20231121,20231122,20231129,1016.16,12,84.68
GO43720,BV-FO-GREE-EA,21935,20220907,20220913,20220915,76.26,2,38.13
GO43721,MT-GR-CHIC-2L,18806,20230115,20230121,20230122,186.24,3,62.08
GO43722,BK-FO-CHOC-12PK,13177,20240426,20240427,20240501,441.3,5,88.26
GO43723,PN-FO-SPAG-1L,12272,20200319,20200324,20200330,22.85,1,22.85
GO43724,BV-CH-GREE-2L,20780,20240114,20240118,20240126,76.69,1,76.69
GO43725,BK-CH-BURG-1L,27298,20250830,20250901,20250910,74.5,2,37.25
GO43726,HH-CL-LAUN-6PK,21712,20210603,20210604,20210612,87.04,1,87.04
GO43727,BK-CH-CROI-1L,17095,20260121,20260127,20260126,65.38,2,32.69
GO43728,MT-PC-SAUS-250G,28031,20200618,20200621,20200629,23.97,3,7.99
GO43729,BV-FO-ORAN-FAMILY,24279,20211211,20211218,20211217,294.51,3,98.17
GO43730,PR-FO-BROC-2L,25309,20221030,20221103,20221107,39.87,1,39.87
GO43731,PR-CL-TOMA-500G,27347,20260409,20260412,20260421,375.8,4,93.95
GO43732,HH-CL-SURF-XL,14883,20240601,20240604,20240607,3.52,4,0.88
GO43733,HH-PC-TOIL-6PK,28748,20230301,20230303,20230309,191.95,5,38.39
GO43734,FR-PC-FROZ-EA,14915,20250623,20250630,20250707,233.8,2,116.9
GO43735,PR-DR-SPIN-12PK,15468,20210422,20210429,20210429,83.07,3,27.69
GO43736,PN-CH-OLIV-FAMILY,17469,20250228,20250306,20250306,11.95,5,2.39
GO43737,PR-FO-BROC-2L,15250,20201004,20201008,20201017,112.54,2,56.27
GO43738,BV-PC-GREE-500G,11979,20200608,20200615,20200616,203.2,2,101.6
GO43739,DA-DR-SOUR-2L,29204,20210219,20210225,20210304,119.01,3,39.67
GO43740,SN-CH-CRAC-1L,25100,20241214,20241216,20241222,21.0,2,10.5
GO43741,BK-CH-MUFF-500G,21432,20200322,20200323,20200403,78.78,2,39.39
GO43742,FR-DR-FROZ-FAMILY,15424,20200609,20200611,20200619,238.89,3,79.63
GO43743,SN-DR-COOK-1KG,15458,20221014,20221018,20221024,32.75,1,32.75
GO43744,HB-CH-NAPP-12PK,11140,20221116,20221117,20221124,1213.08,12,101.09
GO43745,SN-DR-POPC-12PK,29255,20250802,20250803,20250811,174.9,6,29.15
GO43746,HB-DR-TOOT-6PK,14346,20220109,20220116,20220120,12.42,1,12.42
GO43747,FR-CL-FISH-EA,28979,20231225,20231227,20231230,47.51,1,47.51
GO43748,BV-DR-INST-12PK,12087,20200703,20200707,20200715,489.2,4,122.3
GO43749,BV-FO-ORAN-FAMILY,19329,20250309,20250314,20250320,325.59,3,108.53
GO43750,PR-PC-SPIN-XL,15752,20221022,20221024,20221027,18.23,1,18.23
GO43751,DA-FO-WHOL-1L,19776,20260125,20260130,20260201,479.75,5,95.95
GO43752,HB-CL-HAND-FAMILY,28646,20260127,20260129,20260210,7.01,1,7.01
GO43753,MT-CH-CHIC-EA,13203,20221107,20221113,20221115,154.02,3,51.34
GO43754,HB-PC-NAPP-250G,18693,20210701,20210707,20210710,82.05,3,27.35
GO43755,HB-GR-HAND-6PK,25449,20240826,20240828,20240904,6.56,2,3.28
GO43756,DA-CH-WHOL-FAMILY,24673,20240723,20240729,20240805,566.1,10,56.61
GO43757,HB-GR-PAIN-1KG,19636,20230424,20230429,20230507,275.97,3,91.99
GO43758,BK-PC-CROI-EA,13065,20230331,20230405,20230413,28.72,1,28.72
GO43759,BV-PC-GREE-6PK,17106,20220505,20220512,20220516,439.1,5,87.82
GO43760,BK-CH-CHOC-FAMILY,27259,20200726,20200730,20200807,169.3,2,84.65
GO43761,HH-GR-DISH-1L,21966,20210324,20210328,20210403,75.34,1,75.34
GO43762,BV-FO-ORAN-FAMILY,22371,20211128,20211201,20211212,203.82,2,101.91
GO43763,DA-GR-BUTT-1KG,17601,20230504,20230507,20230515,109.56,1,109.56
GO43764,BV-FO-SPRI-FAMILY,20373,20230810,20230811,20230824,20.27,1,20.27
GO43765,PR-FO-CARR-250G,25638,20210901,20210903,20210909,79.3,1,79.3
GO43766,SN-DR-CHOC-XL,19954,20220205,20220207,20220213,33.4,4,8.35
GO43767,BV-CL-GREE-FAMILY,19711,20260121,20260123,20260128,12.16,2,6.08
GO43768,FR-GR-FROZ-EA,13074,20230908,20230911,20230914,5.64,3,1.88
GO43769,BK-FO-CHOC-1L,29410,20210219,20210225,20210226,161.26,2,80.63
GO43770,DA-CL-BUTT-XL,15529,20250422,20250425,20250429,428.1,5,85.62
GO43771,PN-CL-FLOU-6PK,23299,20260304,20260307,20260314,40.66,1,40.66
GO43772,MT-DR-SAUS-250G,19651,20241009,20241010,20241023,78.84,1,78.84
GO43773,HH-CL-BINB-6PK,11976,20240504,20240508,20240517,397.08,6,66.18
GO43774,BK-CH-CHOC-FAMILY,27539,20250707,20250710,20250714,65.42,1,65.42
GO43775,PN-FO-SPAG-1L,27114,20211114,20211116,20211124,93.09,3,31.03
GO43776,FR-DR-FROZ-1L,13403,20240811,20240812,20240824,108.6,5,21.72
GO43777,SN-GR-POTA-1L,15864,20210308,20210314,20210314,379.4,10,37.94
GO43778,SN-CH-CHOC-1L,25428,20250406,20250412,20250411,172.56,2,86.28
GO43779,FR-FO-FROZ-1KG,24155,20230701,20230702,20230714,26.62,1,26.62
GO43780,SN-CL-CHOC-6PK,18005,20200501,20200505,20200512,322.9,10,32.29
GO43781,DA-DR-SOUR-2L,19085,20211222,20211229,20220105,30.91,1,30.91
GO43782,DA-FO-SOUR-250G,22910,20220901,20220902,20220912,106.74,3,35.58
GO43783,HH-FO-TOIL-XL,13913,20230614,20230617,20230628,84.04,1,84.04
GO43784,MT-CL-BEEF-EA,21245,20210228,20210307,20210310,0.0,12,1.3
GO43785,HB-FO-PAIN-XL,25159,20200311,20200317,20200319,33.92,2,16.96
GO43786,HH-GR-LAUN-EA,15418,20210708,20210711,20210714,112.1,5,22.42
GO43787,BV-DR-SPAR-1L,22639,20230129,20230131,20230205,119.5,1,119.5
GO43788,BK-CL-BAGE-500G,21034,20241201,20241202,20241208,1.02,1,1.02
GO43789,PN-DR-TUNA-2L,21794,20240704,20240706,20240711,132.92,4,33.23
GO43790,PN-DR-SUGA-2L,24424,20200725,20200731,20200803,56.1,3,18.7
GO43791,FR-GR-FISH-12PK,28923,20250725,20250728,20250806,37.83,1,37.83
GO43792,BK-CL-CHOC-250G,26207,20200809,20200814,20200816,77.64,1,77.64
GO43793,BV-PC-ORAN-2L,22128,20200524,20200525,20200529,97.9,1,97.9
GO43794,BK-CH-BAGE-250G,28486,20230213,20230215,20230223,9.56,1,9.56
GO43795,HH-CH-PAPE-500G,12100,20230827,20230831,20230908,88.41,1,88.41
GO43796,BK-CL-CHOC-500G,23646,20240327,20240329,20240405,192.09,3,64.03
