CID,BDATE,GEN
NASAW00011000,2002-05-14,Female
NASAW00011001,1966-12-21,Male
NASAW00011002,2005-09-17,Male
NASAW00011003,1997-12-23,Male
NASAW00011004,1953-05-29,Male
NASAW00011005,1995-05-09,Female
NASAW00011006,1964-10-11,Female
NASAW00011007,1945-08-01,Male
NASAW00011008,1982-12-01,Male
NASAW00011009,1964-04-26,Female
NASAW00011010,1954-03-04,Male
NASAW00011011,1977-03-17,Female
NASAW00011012,1948-11-24,Male
NASAW00011013,1978-12-17,Female
NASAW00011014,2001-05-26,Female
NASAW00011015,1996-10-18,Male
NASAW00011016,1949-02-10,Female
NASAW00011017,1952-02-28,Male
NASAW00011018,1979-02-07,Female
NASAW00011019,1959-08-05,Male
NASAW00011020,2005-02-15,Male
NASAW00011021,1999-08-26,Male
NASAW00011022,1959-08-30,Female
NASAW00011023,2002-06-02,Male
NASAW00011024,2006-06-03,Male
NASAW00011025,1965-07-20,Female
NASAW00011026,1980-12-28,Male
NASAW00011027,1995-11-20,Female
NASAW00011028,1964-01-29,Female
NASAW00011029,2002-09-03,Female
NASAW00011030,1957-07-12,Female
NASAW00011031,1997-06-12,Female
NASAW00011032,1977-06-23,Male
NASAW00011033,1990-09-18,Male
NASAW00011034,1954-11-02,Male
NASAW00011035,2006-01-19,Male
NASAW00011036,1979-07-10,Female
NASAW00011037,1992-06-21,Male
NASAW00011038,2006-01-12,Female
NASAW00011039,2002-07-04,Female
NASAW00011040,1984-01-03,Male
NASAW00011041,1968-08-18,Male
NASAW00011042,1990-07-19,Female
NASAW00011043,2002-04-29,Male
NASAW00011044,1958-09-18,Male
NASAW00011045,1993-05-23,Male
NASAW00011046,1998-09-26,Male
NASAW00011047,1955-01-14,Female
NASAW00011048,1966-06-26,Male
NASAW00011049,1952-09-07,Male
NASAW00011050,1992-10-16,Male
NASAW00011051,2004-03-10,Male
NASAW00011052,1968-10-12,Female
NASAW00011053,1964-01-02,Male
NASAW00011054,1972-12-19,Female
NASAW00011055,1984-04-21,Female
NASAW00011056,1955-11-10,Male
NASAW00011057,1975-05-02,male
NASAW00011058,1965-08-24,Male
NASAW00011059,1951-05-16,Male
NASAW00011060,1965-07-16,Male
NASAW00011061,1974-08-24,Male
NASAW00011062,1969-12-26,Male
NASAW00011063,1993-05-18,Female
NASAW00011064,1966-10-20,Female
NASAW00011065,1962-01-31,Female
