CID,CNTRY
AW-00011000,Germany
AW-00011001,Australia
AW-00011002,Australia
AW-00011003,United States
AW-00011004,Australia
AW-00011005,United Kingdom
AW-00011006,Australia
AW-00011007,Australia
AW-00011008,Australia
AW-00011009,United States
AW-00011010,Australia
AW-00011011,Australia
AW-00011012,New Zealand
AW-00011013,Australia
AW-00011014,Australia
AW-00011015,Australia
AW-00011016,Australia
AW-00011017,Australia
AW-00011018,Australia
AW-00011019,United Kingdom
AW-00011020,United States
AW-00011021,USA
AW-00011022,United States
AW-00011023,United Kingdom
AW-00011024,Canada
AW-00011025,Germany
AW-00011026,New Zealand
AW-00011027,United States
AW-00011028,United States
AW-00011029,United States
AW-00011030,United Kingdom
AW-00011031,Australia
AW-00011032,Australia
AW-00011033,Australia
AW-00011034,Australia
AW-00011035,Canada
AW-00011036,Australia
AW-00011037,Australia
AW-00011038,Germany
AW-00011039,Australia
AW-00011040,Australia
AW-00011041,United States
AW-00011042,United States
AW-00011043,United States
AW-00011044,United States
AW-00011045,Canada
AW-00011046,United States
AW-00011047,Australia
AW-00011048,Australia
AW-00011049,Australia
AW-00011050,Australia
AW-00011051,United Kingdom
AW-00011052,United States
AW-00011053,Australia
AW-00011054,United Kingdom
AW-00011055,Germany
AW-00011056,Australia
AW-00011057,Australia
AW-00011058,France
AW-00011059,United Kingdom
AW-00011060,United States
AW-00011061,United States
AW-00011062,New Zealand
AW-00011063,Australia
AW-00011064,US
AW-00011065,Australia
AW-00011066,United Kingdom
AW-00011067,United States
AW-00011068,Australia
AW-00011069,Australia
AW-00011070,Australia
AW-00011071,United States
AW-00011072,United Kingdom
AW-00011073,Australia
AW-00011074,Australia
AW-00011075,United States
AW-00011076,Australia
AW-00011077,Australia
AW-00011078,United States
AW-00011079,United States
AW-00011080,Australia
AW-00011081,Canada
AW-00011082,United States
AW-00011083,United States
AW-00011084,United States
AW-00011085,United States
AW-00011086,Australia
AW-00011087,Canada
AW-00011088,United States
AW-00011089,Australia
AW-00011090,France
AW-00011091,Australia
AW-00011092,France
AW-00011093,United States
AW-00011094,United States
AW-00011095,United Kingdom
AW-00011096,Australia
AW-00011097,Australia
